x,state,year,govelec,black,metro,unem,criv,crip,lcriv,lcrip,gcriv,gcrip,y81,y82,y83,y84,y85,y86,y87,y88,y89,y90,y91,y92,y93,ag0_14,ag15_17,ag18_24,ag25_34,incpc,polpc,gincpc,gpolpc,cag0_14,cag15_17,cag18_24,cag25_34,cunem,cblack,cmetro,pris,lpris,gpris,final1,final2
1,1,80,0,0.256000012,0.632000029,0.087750003,4.447868347,44.47637558,1.492424965,3.794958115,0.098785758,0.174785137,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24088341,0.057524394,0.13225475,0.153826401,7673.17627,235.0025635,0.089634478,0.054186985,-0.001227303,-0.001192627,7.68E-05,0.00198988,0.016750002,-0.059999466,0.000200005,141.3347168,4.951130867,-0.020659447,0,0
2,1,81,0,0.255699992,0.636200011,0.10667,4.700943947,44.24878693,1.547763348,3.789828062,0.055338383,-0.005130053,1,0,0,0,0,0,0,0,0,0,0,0,0,0.236795098,0.054605767,0.132431746,0.158458784,8442.722656,227.2263336,0.0955742,-0.033649836,-0.004088306,-0.00291863,0.000176992,0.004632387,0.018919993,-0.030000687,0.004199982,163.5336456,5.097018719,0.145887852,0,0
3,1,82,1,0.255400002,0.640399992,0.143669993,4.497579575,42.05044556,1.503539324,3.738869905,-0.044224024,-0.050958157,0,1,0,0,0,0,0,0,0,0,0,0,0,0.233630583,0.05197452,0.131719738,0.158471331,8855.807617,219.4394836,0.047768626,-0.034870092,-0.00316452,-0.002631245,-0.000712004,1.26E-05,0.036999997,-0.029998779,0.00420002,183.694809,5.213275909,0.116257191,0,0
4,1,83,0,0.255100012,0.644599974,0.136669993,4.186832905,37.08439255,1.431944609,3.613196135,-0.071594715,-0.125673771,0,0,1,0,0,0,0,0,0,0,0,0,0,0.231316715,0.049567871,0.130401626,0.159633964,9411.027344,222.5978546,0.060808651,0.014290308,-0.002313862,-0.00240665,-0.001318111,0.001162624,-0.006999998,-0.030000687,0.004199982,218.6242065,5.387354374,0.174078465,0,0
5,1,84,0,0.254799992,0.648799956,0.111669995,4.353239059,35.0422554,1.470920205,3.556554556,0.038975596,-0.056641579,0,0,0,1,0,0,0,0,0,0,0,0,0,0.227985814,0.048582997,0.127783403,0.16093117,10267.67969,214.3977661,0.087118946,-0.03753379,-0.003330898,-0.000984874,-0.002618227,0.001297207,-0.025,-0.030000687,0.004199982,245.0686188,5.501538277,0.114183903,0,0
6,1,85,0,0.254500002,0.653000057,0.089079998,4.630757809,35.26679993,1.532720566,3.562942028,0.061800361,0.006387472,0,0,0,0,1,0,0,0,0,0,0,0,0,0.225270569,0.0488296,0.124087594,0.162597537,10974.38965,220.5386353,0.066563278,0.028239885,-0.002715244,0.000246601,-0.003695812,0.001666374,-0.022589998,-0.029998779,0.004200058,259.2611389,5.557835579,0.056297302,0,0
7,1,86,1,0.254200011,0.657200038,0.098329999,5.665330887,37.87349701,1.734365344,3.634251595,0.201644778,0.071309566,0,0,0,0,0,1,0,0,0,0,0,0,0,0.222444892,0.050100204,0.119739473,0.163827643,11666.69531,226.8036194,0.061173882,0.028011635,-0.00282568,0.001270604,-0.004348116,0.001230106,0.009250002,-0.030000687,0.004199982,270.551239,5.600461483,0.042625904,0,0
8,1,87,0,0.253899992,0.66140002,0.077749997,5.686923981,39.58106995,1.738169551,3.678350925,0.003804207,0.044099331,0,0,0,0,0,0,1,0,0,0,0,0,0,0.220423415,0.050062265,0.116064757,0.16438356,12289.26758,241.1706238,0.051988099,0.061420135,-0.002021484,-3.79E-05,-0.003674717,0.000555916,-0.020580005,-0.030000687,0.004199982,288.1763306,5.663572788,0.063111305,0,0
9,1,88,0,0.253600001,0.665600002,0.072080001,5.728628159,41.05591583,1.745476127,3.714934826,0.007306576,0.0365839,0,0,0,0,0,0,0,1,0,0,0,0,0,0.219681919,0.048707753,0.113568589,0.163518891,13052.04199,256.2624207,0.060218271,0.060697336,-0.000741501,-0.001354513,-0.002496166,-0.000864677,-0.005669994,-0.029998779,0.004199982,313.8729858,5.748988628,0.08541584,0,0
10,1,89,0,0.253300011,0.669800043,0.070249997,6.036972523,41.25161362,1.797902703,3.719690323,0.052426577,0.004755497,0,0,0,0,0,0,0,0,1,0,0,0,0,0.219106689,0.046401989,0.111662529,0.162034735,13967.87305,268.8833618,0.067815311,0.048075687,-0.000575218,-0.002305765,-0.001906061,-0.001484146,-0.001830006,-0.030000687,0.004200058,307.0825195,5.727116585,-0.021872044,0,0
11,1,90,1,0.252999991,0.674000025,0.067749999,7.069135666,41.96888733,1.955738187,3.736928463,0.157835484,0.01723814,0,0,0,0,0,0,0,0,0,1,0,0,0,0.218271598,0.044938274,0.109876543,0.159753084,14896.78809,280.4938354,0.064385712,0.042274062,-0.000835094,-0.001463714,-0.001785984,-0.002281656,-0.002499995,-0.030000687,0.004199982,336.8486328,5.819633484,0.092516899,0,0
12,1,91,0,0.252700001,0.678200006,0.071999997,8.439608574,45.20342255,2.132936001,3.811172724,0.177197814,0.074244261,0,0,0,0,0,0,0,0,0,0,1,0,0,0.217603907,0.044254281,0.10929095,0.157457203,15600.99023,288.973114,0.046188764,0.029781904,-0.000667686,-0.000683994,-0.000585594,-0.002295875,0.004249997,-0.029998779,0.004199982,379.3826904,5.938545227,0.118911743,0,0
